"w1","w2","w3","freq"
"something","else","feel",2
"sometimes","asserts","right",2
"sorry","dont","know",2
"sorry","took","long",2
"sound","plagued","windsor",2
"sounds","like","fun",2
"sounds","little","opportunity",2
"south","san","francisco",2
"south","state","hwy",2
"span","five","months",2
"speaker","sheila","oliver",2
"special","prosecutor","angela",2
"species","driven","extinct",2
"spend","day","bed",2
"spend","lot","time",2
"spend","time","outside",2
"spending","much","time",2
"spent","lot","time",2
"spokesman","state","treasury",2
"sports","medicine","american",2
"spread","like","wildfire",2
"spread","passing","offense",2
"sprinters","will","often",2
"st","airborne","division",2
"st","charles","county",2
"st","charles","west",2
"st","joseph","county",2
"st","louis","area",2
"st","louis","county",2
"st","louis","pm",2
"st","louis","police",2
"st","louis","university",2
"stand","soldiers","killed",2
"star","point","guard",2
"star","wars","day",2
"started","writing","new",2
"starting","star","point",2
"state","democratic","party",2
"state","department","environmental",2
"state","federal","laws",2
"state","officials","said",2
"state","party","also",2
"state","rep","matt",2
"state","treasury","department",2
"states","including","california",2
"states","regulators","said",2
"stay","home","mom",2
"stephen","berberich","dont",2
"still","cant","believe",2
"still","long","way",2
"still","trying","determine",2
"still","work","progress",2
"street","--","sf",2
"strong","first","quarter",2
"strong","running","game",2
"struck","seven","pitches",2
"studying","jewish","texts",2
"subsidized","coverage","exchanges",2
"substantially","worrying","—",2
"success","comes","work",2
"suffocating","death","house",2
"suggestions","guess","likes",2
"suicide","stand","soldiers",2
"summer","one","first",2
"sunday","dual","morning",2
"sunday","new","york",2
"super","pac","american",2
"supreme","court","said",2
"sure","enough","one",2
"surfaces","eye","doctor",2
"surprised","even","loberger",2
"surprisingly","easy","find",2
"sweet","potato","pie",2
"sweetwater","high","done",2
"tabak’s","taste","pornography",2
"tag","will","rise",2
"take","bp","buffers",2
"take","care","us",2
"take","islamic","law",2
"talking","believing","god",2
"talking","benefits","new",2
"tampa","bay","rays",2
"target","marketing","isn’t",2
"taught","art","two",2
"tea","time","terrific",2
"team","better","equipped",2
"technology","will","help",2
"teens","early","s",2
"tell","’m","mournful",2
"ten","minutes","later",2
"term","health","effects",2
"terrific","top","three",2
"text","messages","photos",2
"texts","artists","musicians",2
"th","among","forwards",2
"th","avenue","n",2
"th","congressional","district",2
"th","hello","bud",2
"th","naunton","brook",2
"th","overall","compensatory",2
"th","overall","th",2
"th","street","n",2
"thank","god","bless",2
"thanks","car","accident",2
"thanks","everyone","came",2
"thanks","following","us",2
"thanks","rt","hope",2
"thats","crazy","talk",2
"thats","gon","make",2
"thats","like","hear",2
"theatrical","experience","less",2
"theres","nothing","wrong",2
"theyre","selling","hotel",2
"theyve","zero","suggestions",2
"thing","’ve","ever",2
"thing","ask","donation",2
"thing","issince","posting",2
"things","can","happen",2
"things","general","manager",2
"things","im","loving",2
"think","can","stop",2
"think","carefully","’s",2
"think","fair","say",2
"think","im","going",2
"think","next","time",2
"think","one","day",2
"think","really","obvious",2
"third","last","song",2
"three-day","suicide","stand",2
"three","weeks","im",2
"threw","hit","shutout",2
"throughout","evening","makes",2
"throwaway","alternate","phone",2
"thrown","onto","surfaces",2
"tickets","weird","al",2
"till","april","rd",2
"tim","holtz","broken",2
"time","couple","days",2
"time","director","john",2
"time","next","year",2
"time","right","now",2
"time","terrific","top",2
"tips","writing","emails",2
"today","can","get",2
"today","cant","wait",2
"today","going","share",2
"today","just","one",2
"today","share","ideas",2
"tommy","lee","jones",2
"took","day","work",2
"total","fog","experiencing",2
"totalitarian","racist","lefties",2
"touch","arm","keep",2
"town","hall","meetings",2
"traditional","calendars","india",2
"traditional","pro-style","attack",2
"trains","throughout","evening",2
"transmission","never","cut",2
"trip","memory","lane",2
"true","’s","hardly",2
"try","make","best",2
"try","make","sure",2
"turn","will","make",2
"two","-bats","bouncing",2
"two","adopted","children",2
"two","days","later",2
"two","shorter","pieces",2
"two","tickets","weird",2
"two","years","jewish",2
"u","g","krishnamurti",2
"u","guys","soon",2
"u","happy","mothers",2
"unabashed","talking","benefits",2
"united","states","america",2
"unto","us","believe",2
"upon","request","complete",2
"us","additional","copies",2
"us","marshals","service",2
"us","put","aside",2
"use","distance","education",2
"use","eminent","domain",2
"use","power","words",2
"used","china","ball",2
"used","variation","traditional",2
"using","credit","card",2
"variation","traditional","pro-style",2
"version","book","clocking",2
"video","gps","location",2
"virtually","everybody","else",2
"volume","came","billion",2
"vote","next","week",2
"voters","turning","bnp",2
"vs","happersett","opinion",2
"vy","canis","majoris",2
"wait","till","april",2
"waiting","hear","back",2
"wall","september","theyve",2
"want","give","away",2
"want","go","back",2
"want","harden","existing",2
"wanted","make","something",2
"wanted","make","sure",2
"wants","dress","like",2
"wants","watch","tv",2
"warrant","obtain","information",2
"warrant","states","including",2
"waterfalls","admired","hiked",2
"way","can","make",2
"way","im","going",2
"way","make","us",2
"way","things","going",2
"way","way","back",2
"wealth","private","data",2
"weapon","att","minimum",2
"weapon","injuries","reported",2
"web","browsing","history",2
"web","site","want",2
"websites","let","consumers",2
"wedding","anniversary","last",2
"week","police","found",2
"weeks","ago","ive",2
"weeks","months","years",2
"well","aware","fact",2
"well","combined","add",2
"well","follow","back",2
"west","end","building",2
"weve","got","plenty",2
"whatever","takes","get",2
"whatever","youre","going",2
"white","british","people",2
"whole","lot","better",2
"will","hold","hearing",2
"will","last","forever",2
"will","make","sure",2
"will","never","get",2
"will","never","go",2
"will","often","breathe",2
"will","recieve","two",2
"will","rise","even",2
"will","take","place",2
"will","try","get",2
"will","try","make",2
"windle","finished","third",2
"windsor","residents","two",2
"wishes","come","true",2
"within","feet","service",2
"within","one","victory",2
"within","three","years",2
"without","completing","term",2
"without","warrant","states",2
"won","first","game",2
"wood","coffee","tables",2
"words","liberally","unabashed",2
"work","dictionary","vidal",2
"work","learn","employers",2
"world","heritage","site",2
"worrying","—","makes",2
"worrying","kids","—",2
"yankovic","show","may",2
"year","also","saw",2
"year","completed","percent",2
"year","without","completing",2
"years","ago","leaders",2
"years","ago","paid",2
"years","ago","says",2
"years","jewish","high",2
"years","old","time",2
"youll","never","know",2
"youll","never","see",2
"youre","going","get",2
"youre","hot","youre",2
"youre","likely","get",2
"youre","quite","welcome",2
"zero","suggestions","guess",2
